model_family,run_name,ablation,patch_accuracy,patch_macro_f1,patch_bal_acc,patch_macro_auc_ovr,patch_macro_auprc,patch_min_recall_tumor,patch_worst_tumor_class,patient_accuracy,patient_macro_f1,patient_bal_acc,patient_macro_auc_ovr,patient_macro_auprc,patient_min_recall_tumor,patient_worst_tumor_class,n_patients_tumor_eval,val_probe_acc
ibot,exp_ibot_abl01,abl01,0.506,0.419,0.520,0.865,0.558,0.021,ONCO,0.750,0.562,0.679,0.934,0.908,0.000,ONCO,12,0.594
ibot,exp_ibot_abl02,abl02,0.544,0.480,0.550,0.908,0.707,0.145,ONCO,0.750,0.548,0.631,0.958,0.929,0.000,ONCO,12,0.689
ibot,exp_ibot_abl03,abl03,0.519,0.444,0.533,0.846,0.550,0.035,ONCO,0.750,0.562,0.679,0.934,0.908,0.000,ONCO,12,0.547
ibot,exp_ibot_abl04,abl04,0.618,0.529,0.596,0.919,0.704,0.040,ONCO,0.833,0.612,0.714,0.967,0.943,0.000,ONCO,12,0.768
ibot,exp_ibot_abl05,abl05,0.445,0.376,0.476,0.822,0.501,0.020,ONCO,0.750,0.562,0.679,0.912,0.783,0.000,ONCO,12,0.574
ibot,exp_ibot_abl06,abl06,0.502,0.401,0.512,0.870,0.555,0.036,ONCO,0.667,0.502,0.595,0.934,0.908,0.000,ONCO,12,0.603
ibot,exp_ibot_abl07,abl07,0.552,0.474,0.564,0.904,0.631,0.049,ONCO,0.750,0.562,0.679,0.984,0.975,0.000,ONCO,12,0.711
ibot,exp_ibot_abl08,abl08,0.525,0.446,0.530,0.907,0.677,0.096,ONCO,0.583,0.429,0.512,0.934,0.908,0.000,ONCO,12,0.678
ibot,exp_ibot_abl09,abl09,0.526,0.448,0.550,0.873,0.568,0.111,ONCO,0.750,0.562,0.679,0.967,0.957,0.000,ONCO,12,0.653
dino_v3,exp_dino_v3_abl01,abl01,0.567,0.570,0.599,0.868,0.601,0.501,ONCO,0.750,0.848,0.893,0.894,0.878,0.571,ccRCC,12,0.708
dino_v3,exp_dino_v3_abl02,abl02,0.287,0.224,0.332,0.630,0.274,0.000,ccRCC,0.250,0.196,0.369,0.651,0.435,0.000,ONCO,12,0.242
dino_v3,exp_dino_v3_abl03,abl03,0.607,0.615,0.632,0.883,0.643,0.486,ccRCC,0.750,0.786,0.893,0.920,0.898,0.571,ccRCC,12,0.714
dino_v3,exp_dino_v3_abl04,abl04,0.535,0.547,0.568,0.858,0.580,0.512,ccRCC,0.667,0.762,0.762,0.909,0.886,0.333,pRCC,12,0.684
dino_v3,exp_dino_v3_abl05,abl05,0.546,0.539,0.576,0.876,0.605,0.501,ONCO,0.667,0.762,0.762,0.902,0.881,0.333,pRCC,12,0.712
dino_v3,exp_dino_v3_abl06,abl06,0.498,0.442,0.501,0.844,0.548,0.219,pRCC,0.750,0.510,0.583,0.925,0.900,0.000,ONCO,12,0.684
dino_v3,exp_dino_v3_abl07,abl07,0.504,0.496,0.552,0.861,0.565,0.385,ONCO,0.667,0.515,0.643,0.894,0.878,0.000,ONCO,12,0.692
dino_v3,exp_dino_v3_abl08,abl08,0.544,0.551,0.585,0.869,0.592,0.537,ONCO,0.750,0.848,0.893,0.885,0.837,0.571,ccRCC,12,0.684
dino_v3,exp_dino_v3_abl10,abl10,0.497,0.506,0.546,0.844,0.545,0.343,ccRCC,0.667,0.733,0.857,0.887,0.869,0.429,ccRCC,12,0.677
moco_v3,exp_moco_v3_abl01,abl01,0.748,0.728,0.725,0.942,0.805,0.301,pRCC,0.917,0.933,0.917,0.991,0.979,0.667,pRCC,12,0.793
moco_v3,exp_moco_v3_abl02,abl02,0.711,0.676,0.690,0.946,0.825,0.345,ONCO,0.833,0.600,0.667,1.000,1.000,0.000,ONCO,12,0.809
moco_v3,exp_moco_v3_abl03,abl03,0.750,0.736,0.739,0.948,0.812,0.563,pRCC,0.917,0.945,0.964,0.984,0.975,0.857,ccRCC,12,0.798
moco_v3,exp_moco_v3_abl04,abl04,0.721,0.693,0.702,0.944,0.800,0.427,ONCO,0.833,0.600,0.667,1.000,1.000,0.000,ONCO,12,0.801
moco_v3,exp_moco_v3_abl05,abl05,0.697,0.657,0.663,0.936,0.777,0.267,pRCC,0.833,0.600,0.667,1.000,1.000,0.000,ONCO,12,0.791
moco_v3,exp_moco_v3_abl06,abl06,0.728,0.710,0.726,0.943,0.822,0.460,ONCO,0.833,0.612,0.714,0.984,0.975,0.000,ONCO,12,0.809
moco_v3,exp_moco_v3_abl07,abl07,0.746,0.730,0.735,0.949,0.829,0.532,ONCO,0.917,0.945,0.964,0.984,0.975,0.857,ccRCC,12,0.798
moco_v3,exp_moco_v3_abl08,abl08,0.699,0.661,0.670,0.941,0.783,0.387,ONCO,0.750,0.510,0.583,1.000,1.000,0.000,ONCO,12,0.803
moco_v3,exp_moco_v3_abl09,abl09,0.714,0.683,0.692,0.943,0.785,0.401,ONCO,0.833,0.600,0.667,1.000,1.000,0.000,ONCO,12,0.805
moco_v3,exp_moco_v3_abl10,abl10,0.719,0.692,0.700,0.945,0.801,0.433,ONCO,0.833,0.612,0.714,0.984,0.975,0.000,ONCO,12,0.798
i_jepa,exp_i_jepa_abl03,abl03,0.490,0.464,0.551,0.864,0.590,0.159,ccRCC,0.417,0.354,0.536,0.829,0.791,0.000,ONCO,12,0.671
i_jepa,exp_i_jepa_abl04,abl04,0.413,0.367,0.483,0.834,0.516,0.003,ccRCC,0.333,0.233,0.500,0.824,0.773,0.000,ccRCC,12,0.665
i_jepa,exp_i_jepa_abl05,abl05,0.277,0.215,0.355,0.752,0.368,0.000,ccRCC,0.250,0.196,0.417,0.714,0.470,0.000,ccRCC,12,0.646
i_jepa,exp_i_jepa_abl06,abl06,0.440,0.406,0.516,0.861,0.598,0.048,ccRCC,0.333,0.282,0.500,0.840,0.790,0.000,ccRCC,12,0.672
