concept_name,wds_key,group,class_label,vlm_label,user_question,assistant_answer
image_description,HP13.7465/01109a1bfd659983ee423543354cdedf88859140/1784_9380,,NOT_TUMOR,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tissue sample. Histopathology is the examination of tissues under a microscope to study"
image_description,HP12.7601/41ab7dc9fa05aaff9572b0a0084efec007da83b6/1536_9120,,pRCC,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological examination of a tissue sample. The tissue is stained with hematoxylin and eosin ("
image_description,HP20.2506/13/14575_18945,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tissue sample. The tissue is stained with hematoxylin and eosin ("
image_description,HP12.7726/84657173e31b113783ecf21522d5aaac5155852b/4288_9520,,pRCC,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tumor. The tumor is composed of a mixture of epithelial and sp"
image_description,HP17.11714/8c0c1e25dce41df2b3cd97092ca75396e9c06539/2624_5660,,NOT_TUMOR,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histological section of a tissue sample. The tissue appears to have a normal architecture, which means that the cells and structures"
image_description,HP18005453/8/6711_10915,,ONCO,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a large number of cells with round nuclei and scanty cytoplasm. These cells are arranged"
image_description,HP15.11259/6d6ff879d877d9f43a257ae9fdc72ba2ab24a96a/1656_6068,,NOT_TUMOR,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathology slide of a tissue sample. The tissue is stained with hematoxylin and eosin ("
image_description,HP19.5524/1a8f1a0eb1dc6976cd3f1b4db3c9386d140f2bb1/3216_4224,,NOT_TUMOR,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological examination of a renal biopsy. The image is stained with hematoxylin and e"
image_description,HP18005453/8/8300_1755,,ONCO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological examination of a tissue sample. The tissue is stained with hematoxylin and eosin ("
image_description,HP20002450/2/6844_23225,,ONCO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological examination of a tumor. The tumor is composed of small, round cells with a high nuclear-"
image_description,HP19.4075/63bd9e217c3340194473cc31fa426e1ef61b48d7/2036_4868,,NOT_TUMOR,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathology slide of a tumor. The slide is stained with hematoxylin and eosin ("
image_description,HP16.6209/e09752bff7e4b16a32cce99ecdeb7d6cda463135/4988_5396,,NOT_TUMOR,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a large number of lymphocytes, which are a type of white blood cell. These lym"
image_description,HP20.2506/13/234_2015,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the histopathological image, you can see a large number of lymphocytes, which are a type of white blood cell. These lym"
image_description,HP20.2506/13/18959_3667,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the histopathological image, you can see a large number of eosinophils, which are a type of white blood cell. These eos"
image_description,HP20002450/2/2820_3644,,ONCO,Unknown,Task: Describe in detail what you see.,"In the histopathological image, you can see a large number of fungal hyphae. Hyphae are the thread-like structures that make up"
image_description,HP17.11714/73cce8b135ee384b2fa0f178d6dfd663c91aad2a/2912_8576,,pRCC,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tumor. The tumor is composed of sheets of cells, which are separated by fib"
image_description,HP19.4075/63bd9e217c3340194473cc31fa426e1ef61b48d7/4732_5236,,ccRCC,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a dense inflammatory infiltrate in the dermis. The dermis is the"
image_description,HP12.9282/71a11f26edd3ccea33d4e47d932915a56cbe928e/3796_6388,,ccRCC,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological examination of a tissue sample. The tissue is stained with hematoxylin and eosin ("
image_description,HP20.2506/13/27492_3419,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the histopathological image, you can see a large number of cells with round to oval nuclei and scanty cytoplasm. The"
image_description,HP20001530/6/10581_6184,,ONCO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathology slide of a tissue sample. Histopathology is the examination of tissues under a microscope to study"
image_description,HP15.9102/a944a3a02be5f1615d664df44f7de676ff245ca3/3592_8560,,pRCC,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tissue sample. Histopathology is the examination of tissues under a microscope to study"
image_description,HP19012316/10/1383_10300,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a large number of amoebae, which are single-celled organisms. These amoeb"
image_description,HP20002450/2/8114_20889,,ONCO,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a large number of lymphocytes, which are a type of white blood cell. These lym"
image_description,HP11.12277/264f859b49b76d754766a6a2dc99d15f817625e2/2612_4912,,ccRCC,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a tumor with a fibrous capsule. The tumor is composed of a mixture of spindle"
image_description,HP18005453/8/11498_12364,,ONCO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tumor. The tumor is composed of cells with a high nuclear-to-cy"
image_description,HP18.5818/31a9995d08d25cca63ff4db5da01c859279118b5/3964_5692,,pRCC,Unknown,Task: Describe in detail what you see.,"In the image, you see a histopathological view of a tissue sample. The tissue appears to have a normal architecture, which means that the cells and structures"
image_description,HP20002450/2/8859_25960,,ONCO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tissue sample. The tissue is stained with hematoxylin and eosin ("
image_description,HP20.2506/13/8225_20170,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tumor. The tumor is composed of cells with abundant eosinophil"
image_description,HP20002450/2/10895_527,,ONCO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological examination of a brain biopsy. The image is stained with hematoxylin and eos"
image_description,HP19012316/10/972_1687,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a lymph node. The lymph node is composed of lymphocytes"
image_description,HP14.69/353c35e790a5cacac2abdc26e8a55c02c395cffd/4488_6940,,ccRCC,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tissue sample. The tissue is stained with hematoxylin and eosin ("
image_description,HP14.9097/598c2bbb50d1da808cf8ea5893ef50f836f2e193/3348_7304,,ccRCC,Unknown,Task: Describe in detail what you see.,"In the image, you see a histopathological view of a tissue sample. The tissue is stained with hematoxylin and eosin (H"
image_description,HP20001530/6/36551_17180,,ONCO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of the liver tissue. The liver tissue is composed of hepatocytes, which are the primary"
image_description,HP20002450/2/12079_25379,,ONCO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological examination of a tissue sample. The tissue is stained with hematoxylin and eosin ("
image_description,HP17.11714/8c0c1e25dce41df2b3cd97092ca75396e9c06539/3700_7272,,pRCC,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological examination of a tissue sample. The tissue appears to have a normal architecture, which means that the cells and"
image_description,HP20.2506/13/7948_8038,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a large number of cells with a round or oval shape. These cells are arranged in a sheet-like"
image_description,HP15.11259/661614f71bcab61fda7395699785d798105d355e/4436_6200,,ccRCC,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tissue sample. The tissue is stained with hematoxylin and eosin ("
image_description,HP19012316/10/48_8343,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tissue sample. The tissue is stained with hematoxylin and eosin ("
image_description,HP15.9102/a944a3a02be5f1615d664df44f7de676ff245ca3/1972_8972,,pRCC,Unknown,Task: Describe in detail what you see.,"In the image, you can see a histopathological view of a tumor. The tumor is composed of a mixture of epithelial and sp"
image_description,HP11.12277/264f859b49b76d754766a6a2dc99d15f817625e2/4184_2540,,ccRCC,Unknown,Task: Describe in detail what you see.,The image shows a histopathology of a tumor. Histopathology is the examination of tissues under a microscope to study the manifestations of disease
image_description,HP09.5392/4d4cbf193710983ae4c29e7f8fa4cab3dce92f4d/3464_6560,,pRCC,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a dense infiltrate of lymphocytes and plasma cells. These are types of white blood"
image_description,HP19012316/10/2142_4991,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a large number of eosinophils, which are a type of white blood cell. These eos"
image_description,HP18014084/8/18205_2510,,CHROMO,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a large number of fungal hyphae. Hyphae are the branching, thread-like structures"
image_description,HP15.2902/1dd7c0a13c3cebe8b0336faae1034b26d82ad7da/2276_7624,,ccRCC,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a dense infiltrate of lymphocytes and plasma cells. Lymphocytes are"
image_description,HP12.13358/51872de0c982de2102e20554e38621e034b733dd/4996_7132,,NOT_TUMOR,Unknown,Task: Describe in detail what you see.,"In the histopathology image, you can see a large amount of fibrous tissue. Fibrous tissue is composed of collagen fibers, which provide"
